"POST_TITLE","POST_CONTENT"
"AIBU... to ask for your help finding a boring gift?!","My niece is very lovely, but very dull. And with VERY different taste to mine. She has no hobbies, doesn't cook or garden, isn't interested in hair, beauty or smelly stuff, doesn't read or do puzzles... I just CANNOT think of anything to get her. Now it's an emergency situation, and whatever I get will have to come from the dreaded Amazon. Budget <£40 Please help!!"
"How can I tell DP I don't want him to try out my sport?!","I do Muay Thai twice per week. One time in a small group. One time as a one-on-one with a coach. It's my completely happy place. I absolutely lose myself in it, especially at one-on-ones. DP has said he might be interested in trying it out and is thinking about booking a one-on-one with the coach. This would be totally separate from my coaching sessions. But I feel really grumpy about it. It's hard to articulate but I don't want him to. I know I sound like an unreasonable spoiled child. I know I can't (and wouldn't) stop him from giving it a try. But it feels kind of sacrosanct and like something I 'own' just for myself. And I do mean 'own' because its so different from a normal sports club or fitness class - its a real sense of ownership of my skills, my body, my time, my confidence. I just don't want DP anywhere near it. How the hell can I articulate this without sounding like an absolute twat <with the caveat that I know I'm actually being a bit of a twat>? DP's a normal, reasonable human but I need the right words to explain my thoughts. Give me some words, please MN, so I can formulate them into some kind of articulate way to tell DP to fuck off!"
"to think that Deliveroo etc should be banned!","Hi all, I live in London and was recently nearly knocked off my bike by a deliveroo driver on a moped (he was completely in the wrong, though will not be drawing a road diagram to illustrate lol). When I shouted at him he just made fun of my voice and it enraged me soooo much. These are my chief issues with deliveroo etc: There are now so many dangerous drivers either on mopeds or bikes with batteries illegally fitted to them - flagrantly going the wrong way up one-way streets, running reds etc. Very dangerous and a friend of mine recently had someone break into her secure underground parking area to steal her electric bike. There was so much damage to the property and she basically thinks that her bike was nicked to order. I looked into it and deliveroo actually acknowledge that deliveroo drivers 'rent out' their accounts to others, many of whom are undocumented migrants - but they put the responsibility on the original driver to check that the person renting the account has the right to work etc! Complete dereliction of duty, and basically facilitates the exploitation / trafficking of illegal immigrants who then have no legal protection, don't pay tax etc... On a slightly pious level I think it's terrible and lazy that so many people now think it's normal to be able to just order food in so rapidly - like it is genuinely quite aristocratic to expect to press a button and have a shawarma wrap at your door in <20 minutes. People should learn to cook or at least have to walk round the block to the chippy. It's lazy! Meeting the deliveroo orders in small restaurants means it takes twice as long to get your actual food, and it ruins the ambiance when there are loads of deliveroo drivers outside or at the door (though acknowledge this is not the case at Naice restaurants) Everyone I know who works in FS has to basically eat a deliveroo at their desk at 8pm every night - maybe without deliveroo everyone could go home a bit earlier ! ! ! ! YABU - let me have my massaman curry you calvinistic treat-hater YANBU - deliveroo is a scourge"
"Shark Attack","Nice to see that the shark that killed a swimmer in Egypt was caught and beaten to death on the beach. <Slow handclap>"
"DH policing how I talk. AIBu","So I was just chatting to DH about something we have paid someone else to do for us. At great expense. For example a menu for a big event. We are going through a rocky patch. He is getting therapy to work out why he gets so triggered by certain things which can lead to him getting disproportionally angry and at times very verbally aggressive (name calling for example). Discussion yesterday and an agreement that neither of us should give the other unsolicited advice or criticise each other. He has asked me to make a reasonable change in how we co parent and I have asked him to continue to work on being less reactive and angry. So back to the conversation about the ‘menu’. We were talking through it and the different aspects - what we liked and didn’t like. I said about one bit ‘I feel really ‘meh’ about this bit’. He said - in a slightly irritated tone ‘can I ask that when we discuss these things that you talk more positively.’ i stayed very calm. I’m getting very skilled at that! I said that I was just expressing how I feel about something. He said that I had asked him to change how he talks (I.e. when he’s angry and aggressive) because of how it makes me feel and so he is asking me to change how I talk because it dampens his enthusiasm for the ‘menu’ I very calmly said that I didn’t think it was equivalent and that I need to be able to express myself and my feelings and thoughts. I wasnt being critical of him or aggressive or morose. I was positive about the bulk of the ‘menu’. I was just stating my reaction to a part of the menu. He was annoyed that I didn’t agree with him and huffed and walked off. AIBU to think that he doesn’t have the right to ask me not to express my emotional reaction to a part of something that we are paying someone to provide. Or am I right to stand my ground because I shouldn’t have to monitor what I say just in case it dampens his enthusiasm (it might have easily been that he felt ‘meh’ as well).? No LTBs please. That’s the next step if he doesn’t stop the aggressive outbursts. Obviously this is a micro event in a much more complex situation but just based on the information here I’d be keen to hear views. Thanks in advance to anyone that has read and comprehended all of that. I feel quite certain that I am being reasonable but the strength of his annoyance makes it hard to know for sure. Would be great to have different perspectives."
"Poo-gate, what to do?","To be honest I just need to rant, I know IANBU but don't know what to do except seethe. Just before LTB comments start- DH is usually lovely and rarely drinks. DH went out last night- fine. He had no key and was utterly incoherent when I tried to call/text so I waited up until 2am for him to get home so I could lock up. Then went to bed and he was snoring- I kid you not- like he had some sort of jet engine installed in his chest. He also kept violently shaking and making the bed move like there was some sort of earthquake. He seemed fine medically, just very very drunk. I'm 7 months pregnant, perpetually exhausted, and can barely sleep as it is so obviously couldn't cope with this. He wouldn't stop it or wake up fully when I asked (yelled) at him to go and sleep on the sofa if he was so drunk, and in fact kept telling me to fuck off. So, 2.30am I get my stuff and go sleep on the sofa, which isn't the comfiest when heavily pregnant but is better than a bed installed with earthquake plates. I must've fallen asleep because at 4am I am awoken by all the lights suddenly being on and an almightly banging in the hallway and kitchen. The washing machine is also inexplicibly on and so obviously the whole living room/kitchen wall has decided to get in on the action and is being as loud as it can possibly be. I try and sleep through it for about 20 minutes before getting up to see what on earth is going on. DH is now fast asleep again, sprawled across the whole bed, but there is a massive stinking pile of poo on the hallway carpet, with splatters leading in to the kitchen. The bathtub is FULL of what I can only describe as poo-confetti. Everything stinks. It's not diarrhea- I'd be a little more understanding of that- but actual solid poo. Now I'm awake (as are, unfortunately, my nostrils) I can't get back to sleep. My back and legs are killing me from sitting/lying on the sofa but absolutely no way do I want to get back in to bed with him (doubt he'd even make room) and I am refusing to clean up on principle but the whole downstairs utterly reeks. He won't clean up- he's still totally incoherent and is refusing to move out of bed. So now I'm sat here on the sofa, in pain and furious, unable to sleep. What on earth do I do now? I've nowhere to go without a 2+ hour drive which I'm too tired for. What on earth do I do when he wakes up/what is an appropriate punishment/way for him to make up for this? Utterly grossed out and fuming."
"My neighbour is showing all the signs of being a PITA","All v minor at the moment but a faint alarm bell is starting to ring and I wonder if IABU. Moved house in January (detached house but in a busy, built up bit of London). This neighbour lives next door. Came to introduce herself and told us that she’d lived here for 20 years and that it was a very peaceful area <hard stare>. Peaceful. Just kept reiterating it. It isn’t a particularly peaceful area (we moved from two minutes away), but I got the message. We were about to start building works but I apologised for any noise and explained we’d do our best to minimise disruption. At some point she seemed to think we were away (we weren’t, our car was) and started parking across our garage. After the second day of this I left a note on the car - “Hey neighbour, please don’t block our garage - we need access for our works. Thanks!” The blocking stops, but she started to park so close to the garage that it’s practically quite difficult to use. I don’t say anything. A month passes. She knocks on our door and says, “You know that note you left on my car? Well your builder is blocking me in” and points to a van that I’ve never seen before. I explain that our builder has a van with his logo all over it and I have no idea whose van that is but it isn’t ours/our trademens’. She glares at me for a few minutes while I talk and then stomps off, no apology. She stops parking badly though. Today she knocked again. Our builder threw a dismantled shed away, and in doing so revealed a missing fence panel between our houses. She’s not happy and wants it replaced. (To be clear our builder didn’t detach anything- the bit of shed wall had just hidden the missing bit of fence from our side, but would always have been obvious to her.) I agreed without thinking too much - the builder is here anyway and it’s two minutes’ work, plus she is, above stuff aside, putting up with about four months and counting of hammering, drilling etc and I don’t want to be petty. But now I’m thinking about this and getting a bit grumpy. It’s her fence afaics (as in, she has the face of it). The missing panel isn’t my problem. And I’m getting pain the ass vibes. Wwyd? I’m minded to swallow this but then be rather less accommodating with whatever the next thing is."
"Weird friendship situation","I'm looking for advice/ thoughts from anyone who's been in the middle of a weird friendship triangle. We're all middle-aged, although it may not seem so. Basically a couple of years ago I became really good friends with someone who has another, main long-term friend (LTF) . Apparently LTF feels insecure about our mutual friend being friends with other people, and at the moment, specifically me. I'm in the middle feeling like an affair partner over middle-aged friendships where mutual friend would ideally not mention to LTF that she's been out with me etc or she feels guilty when talking about mutual friend and I spending time together. Stuff that for a game of soldiers. Unfortunately though mutual friend is someone I really enjoy spending time with, but I feel like walking away. LTF (who I don't know) apparently has bad anxiety and depression. Mutual friend is not very assertive / ignoring the situation. Had anyone else been in a similar situation? Wwyd?"
"No LTB please","Hi. I can't believe I'm writing this but here goes. Please, if anyone has LTB to say, just move on. I just found out my husband has had sex with prostitutes 3 times over 5 years whilst working away on Bangkok. We have 1 child. We currently live abroad for his work. I do not want to LTB right now because i can't accept my child will live a divorced parent life across two countries which is what I lived though. Did I mention I just had failed ivf for no2? I honestly believe he has some sort of compulsive sex addiction type problem. What he did DISGUSTS and REVOLTS me. Equally, I am concerned for his safety he is so fearful of losing us I'm worried what he will do to himself. Is there ever any moving on from this? I am in a state of shock, unable to process all this as having to hold it together for DC. For now I have said I'll give myself a month to digest what the actual fuck just happened before I make any decisions."
"To scream.........","<SCREAM>>>>>>>> The DC have only been back a week and I already feel overwhelmed. Back to work (although I don't even work FT, 25 hours a week), long commute to work, drop DC off and pick up, orthodontist appointments, parents evenings, cook, clean, laundry, dog walk, elderly parents and more... I'm already overwhelmed and knackered. My house is an absolute TIP. Anyone else just wants to SCREAM!!!!!"
"Came F2F with AP 16 years on","Apologies in advance because I am very tired and don't know how long I will be online tonight. So as background, husband had an affair 16 years ago. We worked through it but it has changed the whole dynamic of our relationship. However, I love him to bits. PLUS I am very menopausal and 'not on an even emotional keel' at the moment. Last night, we went to a party for DH's friend. I had a bit too much to drink. Thing is that the AP was there. Not sure if it was an oversight by the host or she had forgotten. I spent an hour or so in blissful ignorance and then realised who she was. Just went into myself (and probably had an extra glass of wine or so). Husband showed no reaction last night. This morning he was moaning at me for drinking too much. Finally I spoke to him after dinner about how uncomfortable I felt and he has: asked if that was an excuse for me drinking too much asked me why I came at all I didn't exactly cover myself in glory, but I was so shocked and now am dealing with a husband who is deflecting all the blame. And BTW, before you all say LTB and he's still having an affair, I will not be doing the former and he is certainly not doing the latter."
"Delayed divorce for a ltb","Any one else delaying divorce from a ltb to get themselves in a better financial position ? Trust me he doesn’t deserve the sympathy if anyone wants to inform me I’m wasting his time!….. he’s wasted 25 years of my life!…. 18 months and counting …"
"Holiday accommodation & DD","Before I roll out my picnic blanket to sit on the proverbial hill I’m choosing to metaphorically die on, AIBU? We’re going away on holiday with extended family in June. Accommodation is a large villa with additional connected apartments, but with separate entrances. There’s also a pool which is unfenced. Current proposal is that those with young kids (<3) take the apartments, thus ring fencing the kerfuffle at 6:30am when they all wake up, and letting those in the main house get a bit of a holiday lie in. I have said, OK, makes sense but obviously either DH or I will effectively go to bed with DD (2) each night because I don’t want to leave her by herself in a different building (separate entrances) with potential hazards around (unfenced pool, one apt is up stone steps with a balcony, what if the air con catches fire). According to the in-laws, I’m being TOTALLY unreasonable, PFB-esque, nothing will happen to her, just lock all of the doors so she can’t get out, it’s no different to her being asleep upstairs in the house, I’m creating a rod for my own back, just whack on a baby monitor, blah blah blah. So, AIBU? Should I chill out, take the monitor, hope it stretches and enjoy my evenings in the main villa? Or AINBU and leaving a 2 year old asleep locked in a different building isn’t really OK?"
"Confused on the concept of non binary","Please be nice, i am not the sharpest knife in the box under normal circumstances and I'm running on about 6 hrs sleep over the past week at the minute..... But something I've been trying and failing to understand re. the concept of 'non binary' in the 'gender movement' (or whatever it is/ought to be called) is that on the one hand, people who subscribe to that philosophy are saying they reject the traditional idea of explicit male/femaleness (because if ""trans women are women"" then they have swapped for instance). But then if you have 'non binary' individuals isn't that pretty much saying oh yes, actually there is a binary - and some people don't subscribe to it? I do acknowledge sex =/= gender but not all NB people are intersex/have DSD <<thoroughly discombobulated>>"
"Consent issue. Spanish footballer vs her federation's president.","I'm really impressed with Jenni Hermoso's No Shit Tolerated attitude on this. Says she did not consent to be forcibly grabbed by the head and kissed full on the mouth (bleurgh) by Spanish football federation president Luis Rubiales. He dismissed it as an exuberant, celebratory 'peck'. Apparently her complaint is ""false feminism"" and an undeserved ""social assassination"" of his character. <sigh> 🙄 https://www.youtube.com/shorts/U6C6qPpoG6I (Independent Sport evidence clip) [Real charmer. He also pointed at the players then grabbed his crotch as Spain won. Standing next to the Queen and her 16-year-old daughter. Classy]. 81 players confirm they will not play for Spain's women's team until he is removed from his post. Good for them. Hermoso released a long statement on social media: ""I want to make clear that at no time did the conversation to which Mr Luis Rubiales refers to in his address take place and, above all, was his kiss ever consensual."" She added his claims were ""categorically false and part of the manipulative culture that he has generated"". ""I feel the need to report this incident because I believe no person, in any work, sports or social setting should be a victim of these types of non-consensual behaviours. I felt vulnerable and a victim of impulsive-driven, sexist, out-of-place act, without any consent on my part,"" she continued. ""Quite simply, I was not respected."" She added that she was put ""under continuous pressure"" to help with a ""statement that could justify"" Rubiales' actions - and so were her family, friends and team-mates. England's Lionesses backed her immediately. Yay them. Their official statement: “Unacceptable actions allowed to happen by a sexist and patriarchal organisation. Abuse is abuse and we have all seen the truth. “The behaviour of those who think they are invincible must not be tolerated and people shouldn’t need convincing to take action against any form of harassment. We all stand with you, Jenni Hermoso and all players of the Spanish team.” https://www.bbc.co.uk./sport/football/66621772 https://www.theguardian.com/football/2023/aug/24/spanish-football-president-in-kissing-row-denies-new-misogyny-allegations"
"To put 4 and a half month old to sleep alone?","I know the official advice is to keep them with you until they are 6 months. But DD does sleep with me but she goes to sleep at 7. Until recently we had her in the lounge with us but we kept her up talking and with the TV. So she’s in the bedside cot upstairs. It’s OK right … <goes to check again>"
"Jigsaws - what sort of psychopath does a jigsaw","And doesn't start with the edges? DH has started our new one and is randomly putting middle pieces together. AIBU to LTB immediately and fill in the sectioning paperwork. Removing the poll as there is obviously no-one sane who would vote against me. Lightheated btw."
"Oversensitive or being gaslighted/manipulated?","Honestly, I am taking up so much head space on this that I need some others perspectives on my DH behaviour (and I guess mine). LTR 25+ years and DC nearly all left home. I feel like I need to reclaim ""me"" at this point in my life and am feed up of biting my tongue and not expressing my wants. This sits alongside my DH who I think tries to control me with his behaviours. If I try to challenge him on them (calmly standing my ground not arguments) he will either say I am over sensitive, get angry, or play poor little me victim. Here's some examples. I've been out the last 2 nights, went out earlier in the day, back by 9/9.30pm. I've had for days ""I'll be so lonely, I'm all by myself again...do I actually get to spend a night in with you tonight (this morning). This makes me feel guilty and angry at the same time - but if I challenge him I will be told he is ""just joking"" (a lot of his ""jokes"" are poor old me/nobody loves me based), or that I am oversensitive and my moods are ""all over the place"" since perimenopause (to a degree true - but I feel that the real thing that has changed is I no longer bit my tongue like I used to). He takes a packed lunch to work. Never makes the childrens or my lunches. But will invariably start getting ready for work and say ""I suppose I have to make my own lunch...."" waiting for me to offer. If it is a school day I will do it automatically as I am already making one, but I really hate that he tries to make me feel guilty and do it when it is not a school day (and even more frustrated with myself that I do it quite a lot when he guilt trips me - sometimes I make an excuse to leave the house early to avoid this!). A real bone of contention is the bath. I know this sounds bat-shit crazy. He likes to share bath water - he prefers a bath, thinks it saves water if we share (one after the other - not together!). This has been going on for a while where he will ask ""when are we bathing?"" and gets shitty if I say I want to shower (I much prefer a shower 80% of the time). He will guilt trip me (""I'm just trying to save water"" "" I will just strip wash then""... refuses to shower as he ""doesn't like a shower, likes a bath). Because we used to do this when the kids were small he doesn't see why we need to change. So these are all ""small"" things - we have both always had our own trips away, hobbies, independence etc - but I could give you 100's of examples of other little manipulations. It is wearing me down and I want to scream inside. For context, other people from the outside would see us as a perfect couple. He would say he always supports me - I feel like this is only true when I am being the version of me he wants, and our life behind doors is not what people would think. He is very lovely and complimentary - but I would say a bit love bombing (and again there is lots of guilt tripping wrapped up in this. We live a relatively comfortable life. I am the main bread winner, he has had lots of part-time or no jobs over the years (and some full time), but I also do all life admin, kids etc. He thinks he is hard done by. I don't know if I am making a mountain out of a molehill about things that I should get over, or deal with better. I need to find a way to get over my fear and tackle this - so I can see if it improves or shows me I need to leave. How do i start?"
"How to deal with kink taking over","My husband and I have a really close relationship and have spoken about all of the desires we had not previously felt able to share in other relationships. He likes the idea of me touching him with silky underwear and also has a massive tights/stocking fetish. I am fine with this in small doses but it is every time now! He will go to my underwear drawer to fetch a pair of my nice pants to wank with which I have asked him not to do. He goes on and on about seeing me in tights and stockings - I am flattered he finds me so appealing when dressed up. On the other hand I want to just have regular sex and be enough without the accessories if you see what I mean. I do not want to kink shame him and have tried (very clumsily) asking that we just have 'normal' sex. I feel a bit awful that I am responsible for his sexual liberation and now want him to tone it down. What do I do? Please bore off the prudish ltb Mumsnet group! I could do with some sisterly advice about how to phrase an opening conversation. Thanks"
